SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,620 Berwick Ct,Mccandless,PA,15237,440000,4,2.5,McCandless,1976,9513,1969,4,223,,Active,,,https://www.redfin.com/PA/Pittsburgh/620-Berwick-Ct-15237/home/74715320,West Penn MLS,1587958,N,Y,40.5632406,-80.0573124
MLS Listing,,Single Family Residential,5145 Colewood Dr,Baldwin Boro,PA,15236,69900,7,3,Baldwin Boro,1851,18391,1953,4,38,,Active,,,https://www.redfin.com/PA/Pittsburgh/5145-Colewood-Dr-15236/home/73551897,West Penn MLS,1587973,N,Y,40.3433851,-79.9905796
MLS Listing,,Single Family Residential,310 Roberts Rd,Plum Boro,PA,15239,280000,3,2.5,Plum Boro,1662,12240,2002,4,168,,Active,,,https://www.redfin.com/PA/Pittsburgh/310-Roberts-Rd-15239/home/74746999,West Penn MLS,1587764,N,Y,40.488712,-79.7626148
MLS Listing,,Single Family Residential,339 Dorothy Dr,Penn Hills,PA,15235,121000,4,1,Penn Hills,1845,8437,1955,4,66,,Active,,,https://www.redfin.com/PA/Pittsburgh/339-Dorothy-Dr-15235/home/74602751,West Penn MLS,1587911,N,Y,40.4697059,-79.8381325
MLS Listing,,Single Family Residential,1227 Westmoreland Ave,Lincoln-larimer,PA,15206,29900,2,,Lincoln-Larimer,989,3698,1965,4,30,,Active,,,https://www.redfin.com/PA/Pittsburgh/1227-Westmoreland-Ave-15206/home/74513896,West Penn MLS,1587529,N,Y,40.4676094,-79.894492
MLS Listing,,Single Family Residential,1211 Dickson Ave,Marshall Shadeland,PA,15212,49900,2,1,Marshall Shadeland,1204,4791,1905,4,41,,Active,,,https://www.redfin.com/PA/Pittsburgh/1211-Dickson-St-15212/home/74640360,West Penn MLS,1587950,N,Y,40.4700169,-80.0280139
MLS Listing,,Single Family Residential,7 Patton Dr,Upper St. Clair,PA,15241,364900,4,4,Upper St. Clair,3054,19536,1950,4,119,,Active,,,https://www.redfin.com/PA/Pittsburgh/7-Patton-Dr-15241/home/74587387,West Penn MLS,1587937,N,Y,40.3525884,-80.0529466
MLS Listing,,Single Family Residential,139 42nd St,Lawrenceville,PA,15201,380000,3,2,Lawrenceville,1365,901,1880,4,278,,Active,,,https://www.redfin.com/PA/Pittsburgh/139-42nd-St-15201/home/73553701,West Penn MLS,1587859,N,Y,40.4715551,-79.9623622
MLS Listing,,Single Family Residential,2703 Crosby Ave,Dormont,PA,15216,190000,3,1,Dormont,1320,3301,1936,4,144,,Active,,,https://www.redfin.com/PA/Pittsburgh/2703-Crosby-Ave-15216/home/74699108,West Penn MLS,1587906,N,Y,40.4026841,-80.0373591
PAST SALE,,Single Family Residential,238 The Blvd,Carrick,PA,15210,100000,5,2,Carrick,2538,10497,1900,5,39,,Pending,,,https://www.redfin.com/PA/Pittsburgh/238-The-Blvd-15210/home/74687489,West Penn MLS,1587438,N,Y,40.4014413,-79.9845065
